Journal title,Journal URL,URL in DOAJ,When did the journal start to publish all content using an open license?,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Keywords,Languages in which the journal accepts manuscripts,Publisher,Country of publisher,Society or institution,Country of society or institution,Journal license,License attributes,URL for license terms,Machine-readable CC licensing information embedded or displayed in articles,URL to an example page with embedded licensing information,Author holds copyright without restrictions,Copyright information URL,Review process,Review process information URL,Journal plagiarism screening policy,Plagiarism information URL,URL for journal's aims & scope,URL for the Editorial Board page,URL for journal's instructions for authors,Average number of weeks between article submission and publication,APC,APC information URL,APC amount,Journal waiver policy (for developing country authors etc),Waiver policy information URL,Has other fees,Other fees information URL,Preservation Services,Preservation Service: national library,Preservation information URL,Deposit policy directory,URL for deposit policy,Persistent article identifiers,Article metadata includes ORCIDs,Journal complies with I4OC standards for open citations,Does the journal comply to DOAJ's definition of open access?,URL for journal's Open Access statement,Continues,Continued By,LCC Codes,Subjects,DOAJ Seal,Added on Date,Last updated Date,Number of Article Records,Most Recent Article Added
Mashriq & Mahjar,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq,https://doaj.org/toc/81b4226b472c4199b70aeeadf17d06dc,2013,Mashriq wa-al-mahjar,,2169-4435,"middle east, migration, transnationalism, north africa",English,"North Carolina State University, Moise A. Khayrallah Center for Lebanese Diaspora Studies",United States,,,CC BY-NC-ND,,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about/submissions,,,Yes,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about/submissions,Double blind peer review,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about,No,,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about/editorialTeam,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about/submissions#authorGuidelines,20,No,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about/submissions#authorGuidelines,,No,,No,,PKP PN,,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about,Sherpa/Romeo,https://v2.sherpa.ac.uk/id/publication/30087,DOI,Yes,Yes,Yes,https://lebanesestudies.ojs.chass.ncsu.edu/index.php/mashriq/about,,,DT1-3415|HM401-1281,History (General) and history of Europe: History of Africa | Social Sciences: Sociology (General),No,2016-10-21T10:19:44Z,2021-01-28T15:18:00Z,191,2023-03-08T06:00:54Z
Revista de Artes Marciales Asiáticas,http://revpubli.unileon.es/ojs/index.php/artesmarciales/,https://doaj.org/toc/743695c70d104ee4a748459dc52fad9c,2006,Rev. Artes Marciales Asiát.,,2174-0747,"martial arts, combat sports, sport sciences, physical education, sport","English, Portuguese, Spanish",Universidad de León,Spain,Department of Physical Education and Sports,,CC BY-NC-SA,,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/submissions#copyrightNotice,Yes,http://revpubli.unileon.es/ojs/index.php/artesmarciales/article/view/4149/3070,Yes,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/submissions#copyrightNotice,Double blind peer review,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/editorialPolicies#peerReviewProcess,Yes,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/editorialPolicies#peerReviewProcess,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/editorialPolicies#focusAndScope,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/editorialTeam,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/submissions,12,No,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/editorialPolicies#openAccessPolicy,,No,,No,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/editorialPolicies#openAccessPolicy,,,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/editorialPolicies#archiving,Dulcinea,,DOI,,,Yes,http://revpubli.unileon.es/ojs/index.php/artesmarciales/about/editorialPolicies#openAccessPolicy,,,GV557-1198.995,Geography. Anthropology. Recreation: Recreation. Leisure: Sports,No,2013-04-26T15:47:40Z,2018-07-30T10:07:02Z,1074,2023-01-26T15:01:16Z
Mètode Science Studies Journal: Annual Review,http://www.uv.es/metode,https://doaj.org/toc/91df2b2d6d684ef8b3e1ab45f6a00248,2013,Mètode,2174-3487,2174-9221,"science communication, science studies, public understading of science","Catalan, English, Spanish",Universitat de València,Spain,Universitat de València,,CC BY-NC-ND,,https://ojs.uv.es/index.php/Metode/about/submissions#copyrightNotice,,,Yes,https://ojs.uv.es/index.php/Metode/about/submissions#copyrightNotice,Double blind peer review,http://ojs.uv.es/index.php/Metode/about/submissions#authorGuidelines,Yes,http://ojs.uv.es/index.php/Metode/about/submissions#authorGuidelines,http://ojs.uv.es/index.php/Metode/about/editorialPolicies#focusAndScope,https://ojs.uv.es/index.php/Metode/about/editorialTeam,http://ojs.uv.es/index.php/Metode/about/submissions#authorGuidelines,19,No,https://ojs.uv.es/index.php/Metode/about/submissions,,No,,No,https://ojs.uv.es/index.php/Metode/about/submissions,,,http://ojs.uv.es/index.php/Metode/about/editorialPolicies#archiving,"Sherpa/Romeo, Dulcinea",,DOI,,,Yes,https://ojs.uv.es/index.php/Metode/about/editorialPolicies#custom-0,,,P87-96|ZA3040-5185,Language and Literature: Philology. Linguistics: Communication. Mass media | Bibliography. Library science. Information resources: Information resources (General),No,2015-05-19T12:25:21Z,2020-02-27T02:12:02Z,0,
Atlantic Review of Economics,http://aroec.org/ojs/index.php/ARoEc,https://doaj.org/toc/a90994dd7b9e4dacbd52a3c54a5e51e5,2011,Revista Atlántica de Economía,,2174-3835,economic analysis,"English, Spanish",Colegio de Economistas de A Coruña,Spain,Colegio de Economistas de A Coruña,,Publisher's own license,Attribution,http://www.unagaliciamoderna.com/eawp/eawp.asp?qsa=ES&qsb=306,,,Yes,http://www.unagaliciamoderna.com/eawp/eawp.asp?qsa=ES&qsb=306,Double blind peer review,http://www.unagaliciamoderna.com/eawp/eawp.asp?qsa=ES&qsb=165,No,,http://www.unagaliciamoderna.com/eawp/,http://www.unagaliciamoderna.com/eawp/eawp.asp?qsa=ES&qsb=4,http://www.unagaliciamoderna.com/eawp/eawp.asp?qsa=ES&qsb=165,24,No,http://www.unagaliciamoderna.com/eawp/eawp.asp?qsa=ES&qsb=306,,No,,No,http://www.unagaliciamoderna.com/eawp/eawp.asp?qsa=ES&qsb=306,,,,,,,,,Yes,http://www.unagaliciamoderna.com/eawp/eawp.asp?qsa=ES&qsb=306,,,HB1-3840,Social Sciences: Economic theory. Demography,No,2011-06-14T14:19:17Z,2019-02-15T15:42:16Z,40,2019-01-09T12:52:27Z
Enlightening Tourism: A Pathmaking Journal,http://www.uhu.es/publicaciones/ojs/index.php/et,https://doaj.org/toc/359f1a03b51f4238b69658ec50318cb2,2011,ET,,2174-548X,"tourism, leisure and recreation, hospitality industry, travel",English,University of Huelva,Spain,University of Huelva,,CC BY-NC,,http://www.uhu.es/publicaciones/ojs/index.php/et,,,Yes,http://www.uhu.es/publicaciones/ojs/index.php/et/about/submissions#copyrightNotice,Double blind peer review,http://www.uhu.es/publicaciones/ojs/index.php/et/about/editorialPolicies#peerReviewProcess,Yes,http://www.uhu.es/publicaciones/ojs/index.php/et/about/submissions#authorGuidelines,http://www.uhu.es/publicaciones/ojs/index.php/et/about/editorialPolicies#focusAndScope,http://www.uhu.es/publicaciones/ojs/index.php/et/about/displayMembership/4,http://www.uhu.es/publicaciones/ojs/index.php/et/about/submissions#authorGuidelines,24,No,http://www.uhu.es/publicaciones/ojs/index.php/et/about/editorialPolicies#custom-2,,No,,No,,,,,Dulcinea,,,,,Yes,http://www.uhu.es/publicaciones/ojs/index.php/et/about/editorialPolicies#openAccessPolicy,,,G|G1-922,Geography. Anthropology. Recreation: Geography (General),No,2012-02-21T15:18:54Z,2021-03-30T12:27:27Z,9,2012-02-27T17:29:06Z
Normas: Revista de Estudios Lingüísticos Hispánicos,https://ojs.uv.es/index.php/normas/index,https://doaj.org/toc/9be2571cb4ac4f4cb1d22347e2c8f411,2011,,,2174-7245,"language, spanish, linguistics",Spanish,Universitat de València,Spain,Universitat de València,,CC BY,,https://ojs.uv.es/index.php/normas/about/submissions#copyrightNotice,,,Yes,https://ojs.uv.es/index.php/normas/about/submissions#copyrightNotice,Double blind peer review,https://ojs.uv.es/index.php/normas/about/editorialPolicies#peerReviewProcess,No,,https://ojs.uv.es/index.php/normas/about/editorialPolicies#focusAndScope,https://ojs.uv.es/index.php/normas/pages/view/comites,https://ojs.uv.es/index.php/normas/about/submissions#authorGuidelines,30,No,https://ojs.uv.es/index.php/normas/about/editorialPolicies#custom-1,,No,,No,https://ojs.uv.es/index.php/normas/about/editorialPolicies#custom-1,,,https://ojs.uv.es/index.php/normas/about,Dulcinea,,,,,Yes,https://ojs.uv.es/index.php/normas/about/editorialPolicies#sectionPolicies,,,PC1-5498|P1-1091,Language and Literature: Romanic languages | Language and Literature: Philology. Linguistics,No,2015-06-26T14:45:12Z,2020-02-13T10:48:09Z,0,
EU-topías,https://ojs.uv.es/index.php/eutopias/index,https://doaj.org/toc/eadcb0205f6240708f3a65fc184350c8,2011,"EU-topías: Revista de Interculturalidad, Comunicación y Estudios Europeos",2174-8454,2340-115X,"communication, interculturality, european studies, cultural studies, interdisciplinary studies, cinema","Spanish, English, French, Italian",Universitat de València,Spain,Université de Geneve,Switzerland,CC BY-NC-SA,,https://ojs.uv.es/index.php/eutopias/about/submissions#copyrightNotice,,,No,https://ojs.uv.es/index.php/eutopias/about/submissions#copyrightNotice,Double blind peer review,https://ojs.uv.es/index.php/eutopias/about/editorialPolicies#peerReviewProcess,Yes,https://ojs.uv.es/index.php/eutopias/about/editorialPolicies#custom-4,https://ojs.uv.es/index.php/eutopias/about/editorialPolicies#focusAndScope,https://ojs.uv.es/index.php/eutopias/pages/view/equipo,https://ojs.uv.es/index.php/eutopias/about/submissions#authorGuidelines,8,No,https://ojs.uv.es/index.php/eutopias/about/editorialPolicies#openAccessPolicy,,No,,No,,,,,Dulcinea,https://www.accesoabierto.net/dulcinea/ficha2900,,No,No,Yes,https://ojs.uv.es/index.php/eutopias/about/editorialPolicies#openAccessPolicy,,,P87-96|D900-2009,"Language and Literature: Philology. Linguistics: Communication. Mass media | History (General) and history of Europe: History (General): Modern history, 1453-: 1789-: Europe (General)",No,2021-09-23T08:02:52Z,2021-09-23T08:02:52Z,0,
Fronteiras,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS,https://doaj.org/toc/c8403dd59fb04519bd5c8b9e4183c5f5,2008,,,2175-0742,history,Portuguese,Universidade Federal da Grande Dourados,Brazil,Universidade Federal da Grande Dourados,,CC BY-NC-SA,,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/submissions#copyrightNotice,,,Yes,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/submissions#copyrightNotice,Blind peer review,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/editorialPolicies#peerReviewProcess,No,,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/editorialPolicies#focusAndScope,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/editorialTeam,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/submissions#authorGuidelines,24,No,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/editorialPolicies#custom-3,,No,,No,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/editorialPolicies#custom-3,Cariniana Network,,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/editorialPolicies#archiving,Diadorim,,,,,Yes,http://ojs.ufgd.edu.br/index.php/FRONTEIRAS/about/editorialPolicies#openAccessPolicy,,,F1201-3799|H1-99,History America: Latin America. Spanish America | Social Sciences: Social sciences (General),No,2018-06-10T15:47:45Z,2018-06-10T16:47:45Z,362,2022-04-21T13:05:13Z
PROA: Revista de Antropologia e Arte,http://www.revistaproa.com.br,https://doaj.org/toc/d160e44c8e1a42539aa661fac393a09c,2009,,,2175-6015,"anthropology, art, sociology, cultural heritage, art history",Portuguese,Universidade Estadual de Campinas,Brazil,"Universidade Estadual de Campinas, Programa de Pós Graduação em Antropologia Social",,CC BY,,https://www.ifch.unicamp.br/ojs/index.php/proa/about/submissions#copyrightNotice,,,No,,Double blind peer review,https://www.ifch.unicamp.br/ojs/index.php/proa/about/editorialPolicies#peerReviewProcess,No,,https://www.ifch.unicamp.br/ojs/index.php/proa/about/editorialPolicies#focusAndScope,https://www.ifch.unicamp.br/ojs/index.php/proa/about/editorialTeam,https://www.ifch.unicamp.br/ojs/index.php/proa/about/submissions#onlineSubmissions,30,No,https://www.ifch.unicamp.br/ojs/index.php/proa/about/submissions#authorGuidelines,,No,,No,https://www.ifch.unicamp.br/ojs/index.php/proa/about/submissions#authorGuidelines,,,https://www.ifch.unicamp.br/ojs/index.php/proa/about/editorialPolicies#archiving,,,,,,Yes,https://www.ifch.unicamp.br/ojs/index.php/proa/about/editorialPolicies#openAccessPolicy,,,NX1-820|GN301-674,Fine Arts: Arts in general | Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology,No,2018-04-12T11:18:44Z,2019-01-21T18:46:53Z,215,2019-07-22T11:21:24Z
Revista Latinoamericana de Población,http://revistarelap.org/ojs/index.php/relap/index,https://doaj.org/toc/2f43c6b62b8446f8a5f1e71218d08dab,2007,,2175-8581,2393-6401,"population, demography, migration, gender, family, old age","English, Portuguese, Spanish",Asociación Latinoamericana de Población,Brazil,Asociación Latinoamerica de Población,,CC BY-NC,,http://revistarelap.com/index.php/relap/acceso-abierto,,,Yes,http://revistarelap.com/index.php/relap/copyright,Double blind peer review,http://revistarelap.com/index.php/relap/evaluacion,Yes,http://revistarelap.com/index.php/relap/politicas-antiplagio,http://revistarelap.com/index.php/relap/enfoque,http://revistarelap.com/index.php/relap/about/editorialTeam,http://revistarelap.com/index.php/relap/envios,6,No,http://revistarelap.com/index.php/relap/acceso-abierto,,No,,No,,,,,,,DOI,Yes,No,Yes,http://revistarelap.com/index.php/relap/acceso-abierto,,,H|HB848-3697,Social Sciences: Economic theory. Demography: Demography. Population. Vital events,No,2016-01-25T16:20:08Z,2021-02-16T08:06:08Z,252,2022-10-07T16:53:58Z
Quaternary and Environmental Geosciences,https://revistas.ufpr.br/abequa/index,https://doaj.org/toc/f602a3ee899640b6acd05183ca9841e0,2009,QEG,,2176-6142,"environmental geosciences, anthropocene, environmental changes, coastal geology, paleoclimate, quaternary period","English, Portuguese, Spanish",Associação Brasileira de Estudos do Quaternário (ABEQUA),Brazil,ABEQUA,,CC BY-NC-SA,,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/submissions#copyrightNotice,,http://ojs.c3sl.ufpr.br/ojs2/index.php/index/about/aboutThisPublishingSystem,No,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/submissions#copyrightNotice,Peer review,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/help/view/editorial/topic/000044,No,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/submissions#onlineSubmissions,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/editorialPolicies#focusAndScope,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/editorialTeam,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/submissions#authorGuidelines,24,No,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/submissions#authorFees,,No,,No,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/submissions#authorFees,,,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/editorialPolicies#archiving,,,DOI,,,Yes,http://ojs.c3sl.ufpr.br/ojs2/index.php/abequa/about/editorialPolicies#openAccessPolicy,,,QE1-996.5,Science: Geology,No,2015-08-27T13:30:56Z,2020-02-20T09:36:56Z,0,
Labor & Engenho,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/index,https://doaj.org/toc/8b33e5adfc3846dd8111cbdfe24646f3,2007,,,2176-8846,"sociology, city, arquitecture","English, Portuguese, Spanish",Universidade Estadual de Campinas,Brazil,Universidade Estadual de Campinas,,CC BY-NC,,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/index,Yes,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/article/view/8644334,No,,Double blind peer review,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/editorialPolicies#peerReviewProcess,Yes,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/editorialPolicies#peerReviewProcess,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/editorialPolicies#focusAndScope,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/displayMembership/139,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/submissions#authorGuidelines,8,No,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/editorialPolicies#custom-5,,No,,No,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/editorialPolicies#custom-5,Cariniana Network,,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/editorialPolicies#archiving,Diadorim,,,,,Yes,https://periodicos.sbu.unicamp.br/ojs/index.php/labore/about/editorialPolicies#openAccessPolicy,,,TD1-1066|TA1-2040|HT101-395,Technology: Environmental technology. Sanitary engineering | Technology: Engineering (General). Civil engineering (General) | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology,No,2018-02-13T20:27:26Z,2018-06-12T11:37:12Z,398,2022-01-06T14:09:32Z
Mosaico,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/index,https://doaj.org/toc/ed6bc41cd71c4cc7a6b8c94bc788dab8,2016,,,2176-8943,social sciences,Portuguese,Fundação Getúlio Vargas,Brazil,"Fundação Getúlio Vargas, Programa de Pós-Graduação em História, Política e Bens Culturais",,CC BY,,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/submissions#copyrightNotice,,,Yes,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/submissions#copyrightNotice,Double blind peer review,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/editorialPolicies#peerReviewProcess,No,,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/editorialPolicies#focusAndScope,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/displayMembership/108,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/submissions#authorGuidelines,12,No,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/submissions#authorGuidelines,,No,,No,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/submissions#authorGuidelines,,,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/editorialPolicies#archiving,,,DOI,,,Yes,http://bibliotecadigital.fgv.br/ojs/index.php/mosaico/about/editorialPolicies#openAccessPolicy,,,F1201-3799|H,History America: Latin America. Spanish America | Social Sciences,No,2017-10-16T14:55:07Z,2017-11-08T13:48:31Z,0,
Entre-Lugar,http://ojs.ufgd.edu.br/index.php/entre-lugar/,https://doaj.org/toc/2d5749b7914d45d0923e7002d6590afb,2010,Entre-Lugar: Revista do Programa de Pós-Graduação em Geografia da UFGD,2176-9559,2177-7829,"geography, identity, territory",Portuguese,Universidade Federal da Grande Dourados,Brazil,Universidade Federal da Grande Dourados,,CC BY-NC-SA,,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/submissions#copyrightNotice,,,Yes,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/submissions#copyrightNotice,Double blind peer review,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/editorialPolicies#peerReviewProcess,No,,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/editorialPolicies#focusAndScope,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/editorialTeam,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/submissions#authorGuidelines,24,No,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/editorialPolicies#custom-0,,No,,No,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/editorialPolicies#custom-0,,,http://ojs.ufgd.edu.br/index.php/entre-lugar/gateway/lockss,Diadorim,,DOI,,,Yes,http://ojs.ufgd.edu.br/index.php/entre-lugar/about/editorialPolicies#openAccessPolicy,,,G1-922,Geography. Anthropology. Recreation: Geography (General),No,2019-09-22T02:53:12Z,2019-09-22T02:53:12Z,263,2021-07-22T23:11:40Z
Ciência da Madeira,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira,https://doaj.org/toc/42d753ecc1f14d7395b9c62203f30bc8,2010,Brazilian Journal of Wood Science,,2177-6830,"forestry, wood and timber, wood technology, wood science, wood properties","English, Portuguese, Spanish",Federal University of Pelotas,Brazil,,,CC BY-NC-ND,,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/submissions#copyrightNotice,,,No,,Blind peer review,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/editorialPolicies#peerReviewProcess,No,,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/editorialPolicies#focusAndScope,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/editorialTeam,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/submissions#onlineSubmissions,30,No,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/editorialPolicies#focusAndScope,,No,,No,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/editorialPolicies#focusAndScope,Cariniana Network,,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/editorialPolicies#openAccessPolicy,,,DOI,,,Yes,https://periodicos.ufpel.edu.br/ojs2/index.php/cienciadamadeira/about/editorialPolicies#openAccessPolicy,,,SD1-669.5,Agriculture: Forestry,No,2011-03-21T16:45:38Z,2017-07-19T11:21:36Z,25,2013-02-05T21:51:59Z
Revista Videre,http://ojs.ufgd.edu.br/index.php/videre,https://doaj.org/toc/fedb42b6adf24c60b25ef85efa04258b,2009,,,2177-7837,applied social sciences,Portuguese,Universidade Federal da Grande Dourados,Brazil,Universidade Federal da Grande Dourados,,CC BY-NC-SA,,http://ojs.ufgd.edu.br/index.php/videre/about/submissions#copyrightNotice,,,Yes,http://ojs.ufgd.edu.br/index.php/videre/about/submissions#copyrightNotice,Blind peer review,http://ojs.ufgd.edu.br/index.php/videre/about/editorialPolicies#peerReviewProcess,No,,http://ojs.ufgd.edu.br/index.php/videre/about/editorialPolicies#focusAndScope,http://ojs.ufgd.edu.br/index.php/videre/about/editorialPolicies#custom-1,http://ojs.ufgd.edu.br/index.php/videre/about/submissions#authorGuidelines,24,No,http://ojs.ufgd.edu.br/index.php/videre/about/editorialPolicies#custom-12,,No,,No,http://ojs.ufgd.edu.br/index.php/videre/about/editorialPolicies#custom-12,,,,Diadorim,,,,,Yes,http://ojs.ufgd.edu.br/index.php/videre/about/editorialPolicies#openAccessPolicy,,,K1-7720|JZ2-6530,Law: Law in general. Comparative and uniform law. Jurisprudence | Political science: International relations,No,2018-04-28T15:09:35Z,2018-04-28T16:09:35Z,347,2021-06-23T21:46:07Z
Cadernos de Educação,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/,https://doaj.org/toc/d947ce4d707547e8989796e9194215da,2007,,,2178-079X,"training, education, public education, education theory",Portuguese,Faculdade de Educação,Brazil,Universidade Federal de Pelotas,,CC BY-NC-ND,,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about/editorialPolicies#custom-0,,,Yes,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about/editorialPolicies#custom-0,Double blind peer review,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about/editorialPolicies#peerReviewProcess,No,,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about/editorialPolicies#focusAndScope,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about/submissions#authorGuidelines,12,No,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about/submissions#authorGuidelines,,No,,No,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about/submissions#authorGuidelines,,,,Diadorim,,,,,Yes,https://periodicos.ufpel.edu.br/ojs2/index.php/caduc/about/editorialPolicies#openAccessPolicy,,,L|LB5-3640,Education: Theory and practice of education,No,2017-10-16T09:19:37Z,2017-11-08T13:53:05Z,0,
Resgate,http://periodicos.sbu.unicamp.br/ojs/index.php/resgate,https://doaj.org/toc/d9cdbea4ff1d4ac78f89233e98cf6dc5,1990,"Resgate, Revista Interdisciplinar de Cultura",,2178-3284,cultural studies,Portuguese,Universidade Estadual de Campinas,Brazil,Universidade Estadual de Campinas,,CC BY-NC-ND,,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/submissions#copyrightNotice,,,Yes,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/submissions#copyrightNotice,Blind peer review,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/editorialPolicies#peerReviewProcess,Yes,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/editorialPolicies#custom-5,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/editorialPolicies#focusAndScope,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/editorialTeam,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/submissions#authorGuidelines,8,No,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/editorialPolicies#custom-6,,No,,No,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/editorialPolicies#custom-6,Cariniana Network,,https://thekeepers.org/journals/2178-3284?page=1&query=2178-3284,Diadorim,,DOI,,,Yes,https://periodicos.sbu.unicamp.br/ojs/index.php/resgate/about/editorialPolicies#openAccessPolicy,,,N|NX1-820,Fine Arts: Arts in general,No,2019-03-11T17:35:03Z,2019-08-30T10:04:07Z,532,2022-03-03T14:17:50Z
Brazilian English Language Teaching Journal,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/index,https://doaj.org/toc/7fbd75aa5dec49348b836d3aafbf0dd1,2010,,,2178-3640,english language education,"English, Portuguese",Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,Pontifícia Universidade Católica do Rio Grande do Sul,,CC BY,,http://revistaseletronicas.pucrs.br/ojs/index.php/belt/about,,,Yes,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/about/submissions#copyrightNotice,Double blind peer review,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/about/editorialPolicies#peerReviewProcess,No,,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/about/editorialPolicies#focusAndScope,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/about/editorialTeam,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/about/submissions#authorGuidelines,10,No,http://revistaseletronicas.pucrs.br/ojs/index.php/belt/about/editorialPolicies#custom-5,,No,,No,http://revistaseletronicas.pucrs.br/ojs/index.php/belt/about/editorialPolicies#custom-5,,,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/about/editorialPolicies#archiving,Sherpa/Romeo,,DOI,,,Yes,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/belt/about/editorialPolicies#openAccessPolicy,,,LC8-6691,Education: Special aspects of education,No,2011-09-05T11:21:54Z,2020-10-16T12:45:02Z,188,2023-03-03T14:22:33Z
